KEY;OEM;PSM;RGB;GRAY;BLUR;THRES;RESC;INV;IMAGES;BLOCKS;CONF;RUNTIME;COMMENT
13FalseFalseTrueFalseTrueFalse;1;3;False;False;True;False;True;False;10;106;52.7;37.8;
11FalseFalseTrueFalseTrueFalse;1;1;False;False;True;False;True;False;10;106;52.7;38.1;
13FalseTrueFalseTrueFalseFalse;1;3;False;True;False;True;False;False;10;99;52.6;2.9;
11FalseTrueFalseTrueFalseFalse;1;1;False;True;False;True;False;False;10;99;52.6;3.7;
13TrueTrueTrueTrueTrueTrue;1;3;True;True;True;True;True;True;10;98;52.6;6.6;
13FalseTrueTrueTrueTrueFalse;1;3;False;True;True;True;True;False;10;105;52.6;6.8;
13FalseTrueFalseTrueFalseTrue;1;3;False;True;False;True;False;True;10;99;52.5;3;
11FalseTrueFalseTrueFalseTrue;1;1;False;True;False;True;False;True;10;99;52.5;3.5;
13TrueTrueTrueTrueFalseTrue;1;3;True;True;True;True;False;True;10;87;52.4;2.6;
11TrueTrueTrueTrueFalseTrue;1;1;True;True;True;True;False;True;10;87;52.4;3.1;
13TrueTrueTrueTrueTrueFalse;1;3;True;True;True;True;True;False;10;98;52.4;6.4;
113TrueTrueFalseFalseFalseTrue;1;13;True;True;False;False;False;True;10;10;52.4;14.2;
11FalseTrueTrueTrueTrueFalse;1;1;False;True;True;True;True;False;10;109;52.3;7.6;
13TrueTrueTrueFalseFalseTrue;1;3;True;True;True;False;False;True;10;87;52.2;6.8;
11TrueTrueTrueFalseFalseTrue;1;1;True;True;True;False;False;True;10;87;52.2;7.5;
13TrueTrueFalseTrueTrueFalse;1;3;True;True;False;True;True;False;10;93;52.2;8.6;
11TrueTrueFalseTrueTrueFalse;1;1;True;True;False;True;True;False;10;93;52.2;9.1;
13TrueTrueTrueFalseFalseFalse;1;3;True;True;True;False;False;False;10;85;52;6.8;
11TrueTrueTrueFalseFalseFalse;1;1;True;True;True;False;False;False;10;85;52;7.3;
13FalseTrueFalseFalseFalseFalse;1;3;False;True;False;False;False;False;10;99;51.8;7.2;
11FalseTrueFalseFalseFalseFalse;1;1;False;True;False;False;False;False;10;99;51.8;8.4;
13TrueFalseTrueFalseTrueFalse;1;3;True;False;True;False;True;False;10;106;51.8;37.8;
13TrueFalseTrueFalseTrueTrue;1;3;True;False;True;False;True;True;10;106;51.8;37.8;
11TrueFalseTrueFalseTrueFalse;1;1;True;False;True;False;True;False;10;106;51.8;38.2;
11TrueFalseTrueFalseTrueTrue;1;1;True;False;True;False;True;True;10;106;51.8;38.5;
13FalseTrueFalseFalseFalseTrue;1;3;False;True;False;False;False;True;10;99;51.6;7.4;
11FalseTrueFalseFalseFalseTrue;1;1;False;True;False;False;False;True;10;99;51.6;8.1;
